,group,names,scores,logfoldchanges,pvals,pvals_adj
0,0,TMSB4X,11.226859,4.8050914,3.0098879957600793e-29,1.5842899517922778e-25
1,0,CD74,11.216029,10.508005,3.4020689548874283e-29,1.5842899517922778e-25
2,0,ARHGDIB,11.203845,10.404781,3.9041325974389834e-29,1.5842899517922778e-25
3,0,SRGN,11.197527,11.051807,4.192732534636899e-29,1.5842899517922778e-25
4,0,ITGB2,11.186697,10.370431,4.7375414493234293e-29,1.5842899517922778e-25
5,0,HCLS1,11.185344,9.919459,4.810402885220526e-29,1.5842899517922778e-25
6,0,FCER1G,11.180831,9.796809,5.061398230361893e-29,1.5842899517922778e-25
7,0,B2M,11.129839,7.7425704,8.979806379255509e-29,2.1497619053418814e-25
8,0,LAPTM5,11.125326,10.6963005,9.446003170583186e-29,2.1497619053418814e-25
9,0,AIF1,11.121942,11.468695,9.811336339472783e-29,2.1497619053418814e-25
10,1,HBE1,10.448514,7.89854,1.488391405068994e-25,3.261214407646673e-21
11,1,HBZ,10.342921,7.325751,4.505905832130007e-25,4.93644513439003e-21
12,1,TXN,10.212524,3.3359897,1.742713860939819e-24,1.2728201135684125e-20
13,1,RPS14,10.066536,2.1097782,7.766510260342258e-24,4.2543001578589806e-20
14,1,SNRPD2,9.856768,1.8043816,6.407906994472941e-23,2.808073003117932e-19
15,1,SLIRP,9.617234,1.9774418,6.762485753149699e-22,2.469547088954384e-18
16,1,PSMB6,9.563848,2.7280214,1.1345863930469117e-21,3.4975945157521165e-18
17,1,RBM8A,9.543296,2.0034866,1.383638238284901e-21,3.4975945157521165e-18
18,1,TCL1A,9.523453,5.995672,1.6751873527541322e-21,3.4975945157521165e-18
19,1,CRIP1,9.51046,5.493755,1.8982074730210485e-21,3.4975945157521165e-18
20,2,HBG2,3.3504572,4.6192513,0.0008067831261063488,0.0019569827384164963
21,2,HBA2,2.2407198,3.5629733,0.025044236743491786,0.051160196838210756
22,2,HBG1,2.097837,3.9981756,0.03591955957879972,0.07178997262894105
23,2,HBB,1.5742108,3.6328444,0.1154387284909282,0.21078149833039397
24,2,RNASE1,1.5438013,1.2537189,0.12263647441310262,0.22269913731688143
25,2,GYPB,1.4188309,4.6563115,0.1559483264866077,0.27690306172188506
26,2,HBM,1.3905042,3.4448006,0.16437580841118515,0.29061876366476863
27,2,SPARC,1.27449,0.95945746,0.2024897989983908,0.35026083412439735
28,2,GYPA,1.2730321,4.6796007,0.2030066672312668,0.3509609504264074
29,2,BEX1,1.2405398,1.2707788,0.21477582302371523,0.36903646943794105
30,3,RPS15,11.182331,1.5573784,4.976510349881653e-29,1.090403182762569e-24
31,3,SUPT16H,11.044474,2.339394,2.3313022783234374e-28,2.2899243964739137e-24
32,3,HBB,11.017829,4.5874114,3.1353079226971576e-28,2.2899243964739137e-24
33,3,HBG1,10.913373,5.1004443,9.949453827965542e-28,5.450062070613825e-24
34,3,HBM,10.871089,3.3717399,1.5829985184596944e-27,6.937016107594072e-24
35,3,HBA2,10.691719,5.006674,1.1128870326957181e-26,4.064077962232646e-23
36,3,HBG2,10.489952,5.808194,9.607697950805092e-26,3.007346711429863e-22
37,3,NASP,10.35557,2.2242541,3.948293643752403e-25,1.0813882753532363e-21
38,3,UBA52,10.25903,1.4005039,1.077835399371914e-24,2.6240501595153342e-21
39,3,CBX1,10.035445,2.3512785,1.0647761552648558e-23,2.3330310338008255e-20
40,4,CALD1,9.197301,6.2358556,3.670532728849371e-20,8.042504262181857e-16
41,4,COL1A1,9.035178,9.322217,1.637352334013721e-19,1.793801349528732e-15
42,4,DCN,8.890952,9.684947,6.05873525517148e-19,3.616077253512481e-15
43,4,MDK,8.855685,5.427732,8.317113430903777e-19,3.616077253512481e-15
44,4,COL3A1,8.838315,8.860495,9.717285516669318e-19,3.616077253512481e-15
45,4,C7,8.836209,8.569781,9.902087317363375e-19,3.616077253512481e-15
46,4,TSHZ2,8.769624,9.10741,1.792645770899819e-18,5.6112373551694194e-15
47,4,LRRN3,8.723566,9.078063,2.6957482579253067e-18,6.452019872464896e-15
48,4,IGFBP5,8.71646,8.519285,2.870353520387305e-18,6.452019872464896e-15
49,4,PCDH18,8.713565,8.564215,2.9446487483295587e-18,6.452019872464896e-15
50,5,POU5F1,8.855719,5.5145483,8.31466757850762e-19,1.8218268131268048e-14
51,5,RPS14,8.2509575,1.7153302,1.571306899181948e-16,1.7214452733987833e-12
52,5,COL22A1,8.14024,4.5981245,3.9449544697290206e-16,2.881263246207752e-12
53,5,NDUFAB1,8.101262,2.6389813,5.439213165029665e-16,2.979464991474125e-12
54,5,PQLC3,8.053196,4.280724,8.065930748384961e-16,3.534652172557258e-12
55,5,PIWIL1,7.9310007,4.060905,2.1738690667320326e-15,7.93860752019426e-12
56,5,NANOG,7.8855658,4.970229,3.1311313904043415e-15,9.800888556449933e-12
57,5,POU5F1B,7.7781963,3.2916467,7.356580738523476e-15,2.0148755070223487e-11
58,5,SOX15,7.7569137,4.5627627,8.702104933679171e-15,2.0636891233933225e-11
59,5,TCP1,7.7468705,2.1329687,9.418507249296347e-15,2.0636891233933225e-11
60,6,BIRC5,14.668566,5.8250666,1.0248808176645583e-48,2.245616359584814e-44
